Destination,Min (Mbps),Median (Mbps),Mean (Mbps),p95 (Mbps)
102.214.66.39,0.0,35.29,74.11,250.91
109.61.86.65,0.24,93.45,151.65,376.76
138.199.4.1,0.0,0.27,17.21,151.1
148.230.59.38,28.06,243.32,254.2,362.49
148.230.60.200,3.95,162.09,145.12,187.09
169.150.228.129,0.0,0.24,18.28,155.81
169.150.238.161,0.0,10.86,33.08,155.79
185.152.67.2,0.0,0.48,96.91,414.05
185.93.2.193,0.25,10.24,94.16,340.14
23.249.55.42,2.48,106.34,96.25,122.66
37.19.216.1,0.0,231.9,193.28,319.43
66.35.27.207,62.34,367.68,364.68,422.65
69.48.237.66,5.53,147.53,134.16,172.43
89.187.162.1,0.0,0.06,8.71,44.39
96.45.39.38,4.99,161.25,156.68,207.06
iperf-ams-nl.eranium.net,11.3,189.14,206.04,373.03
porto.speedtest.net.zon.pt,6.51,34.38,34.11,38.77
speed1.fiberby.dk,0.0,0.27,54.69,446.18
speedtest.init7.net,5.16,200.43,193.62,218.88
speedtest.keff.org,6.72,96.96,122.23,203.44
speedtest.masnet.ec,2.51,7.44,9.14,19.01
speedtest.uztelecom.uz,1.32,173.03,197.04,344.17
speedtest.wtnet.de,6.75,162.18,196.33,378.71
speedtest120.dal1.tx.hostedbackbone.net,38.86,307.69,305.97,362.2
t5.cscs.ch,9.15,230.77,205.58,260.5
